,id,sent_type,sentence,surprisal,entropy_syntactic,entropy_global,type
0,1,SRC,"Yesterday at noon, the bus driver who followed the kids wondered about the location of a hotel.",9.5779,1.7482,1.4523,rcv
1,1,SRC,"Yesterday, the bus driver who followed the kids wondered about the location of a hotel.",1.2198,1.572,1.3933,rcn
2,1,ORC,"Yesterday, the bus driver who the kids followed wondered about the location of a hotel.",11.277,2.0298,1.5886,rcv
3,1,ORC,"Yesterday afternoon,the bus driver who the kids followed wondered about the location of a hotel.",10.366,1.5678,1.3676,rcn
4,2,SRC,"Yesterday at noon, the chef who distracted the cameraman poured the flour onto the counter.",18.5266,1.7146,1.2825,rcv
5,2,SRC,"Yesterday, the chef who distracted the cameraman poured the flour onto the counter.",2.2911,1.4001,1.219,rcn
6,2,ORC,"Yesterday, the chef who the cameraman distracted poured the flour onto the counter.",17.1827,2.1321,1.5166,rcv
7,2,ORC,"Yesterday afternoon,the chef who the cameraman distracted poured the flour onto the counter.",11.0279,1.4567,1.2365,rcn
8,3,SRC,"Yesterday at noon, the children who woke the father bothered him about the trip to the beach.",9.9398,1.6681,1.2626,rcv
9,3,SRC,"Yesterday, the children who woke the father bothered him about the trip to the beach.",6.6212,1.4333,1.2483,rcn
10,3,ORC,"Yesterday, the children who the father woke bothered him about the trip to the beach.",13.6961,1.8761,1.3481,rcv
11,3,ORC,"Yesterday afternoon,the children who the father woke bothered him about the trip to the beach.",9.9298,1.426,1.223,rcn
12,4,SRC,"Yesterday at noon, the class that disliked the teacher skimmed the reading for the week.",17.1271,1.677,1.2474,rcv
13,4,SRC,"Yesterday, the class that disliked the teacher skimmed the reading for the week.",2.9812,1.4127,1.2236,rcn
14,4,ORC,"Yesterday, the class that the teacher disliked skimmed the reading for the week.",13.6533,1.9718,1.46,rcv
15,4,ORC,"Yesterday afternoon,the class that the teacher disliked skimmed the reading for the week.",6.3722,1.551,1.2846,rcn
