,id,entropy,surprisal,sent_type,sentence,type
0,1,1.783689494,10.97269344,ORC,"Yestreday, the bus driver who the kids followed wondered about the location of a hotel.",rcv
1,1,1.579593684,9.57777977,SRC,"Yesterday at noon, the bus driver who followed the kids wondered about the location of a hotel.",rcv
2,2,1.753451612,17.2236042,ORC,"Yestreday, the chef who the cameraman distracted poured the flour onto the counter.",rcv
3,2,1.430928525,18.52665138,SRC,"Yesterday at noon, the chef who distracted the cameraman poured the flour onto the counter.",rcv
4,3,1.621926778,13.69978142,ORC,"Yestreday, the children who the father woke bothered him about the trip to the beach.",rcv
5,3,1.408719349,9.939825058,SRC,"Yesterday at noon, the children who woke the father bothered him about the trip to the beach.",rcv
6,4,1.727670055,12.71083736,ORC,"Yestreday, the class that the teacher disliked skimmed the reading for the week.",rcv
7,4,1.390208984,17.12700272,SRC,"Yesterday at noon, the class that disliked the teacher skimmed the reading for the week.",rcv
8,5,1.717374136,4.93026638,ORC,"Yestreday, the dancer that the audience loved ignored some basic principles.",rcv
9,5,1.372489132,10.71788311,SRC,"Yesterday at noon, the dancer that loved the audience ignored some basic principles.",rcv
10,6,1.816741318,10.39889622,ORC,"Yestreday, the employees that the fireman noticed hurried across the open field.",rcv
11,6,1.45641,12.90903091,SRC,"Yesterday at noon, the employees that noticed the fireman hurried across the open field.",rcv
12,7,1.712276109,9.940460205,ORC,"Yestreday, the farmer that the customers approached lifted the chickens from their coop.",rcv
13,7,1.530495975,10.71871281,SRC,"Yesterday at noon, the farmer that approached the customers lifted the chickens from their coop.",rcv
14,8,1.787667919,7.047002792,ORC,"Yestreday, the farmer who the rancher hired piled the seeds in long rows.",rcv
15,8,1.424917426,9.870738029,SRC,"Yesterday at noon, the farmer who hired the rancher piled the seeds in long rows.",rcv
16,9,1.787818924,6.685119629,ORC,"Yestreday, the firemen that the residents called attacked the house with high-powered hoses.",rcv
17,9,1.504256368,9.681923866,SRC,"Yesterday at noon, the firemen that called the residents attacked the house with high-powered hoses.",rcv
18,10,1.682463112,9.427808762,ORC,"Yestreday, the girl who the parents watched changed a critical part of the story.",rcv
19,10,1.489398915,10.14164448,SRC,"Yesterday at noon, the girl who watched the parents changed a critical part of the story.",rcv
20,11,1.672593642,6.700254917,ORC,"Yestreday, the investigator who the agency called considered Ms. Reynolds from accounting.",rcv
21,11,1.438527305,8.162267685,SRC,"Yesterday at noon, the investigator who called the agency considered Ms. Reynolds from accounting.",rcv
22,12,1.680266889,13.72765732,ORC,"Yestreday, the judge who the witnesses addressed noticed the defense attorneys.",rcv
23,12,1.463934293,10.4910984,SRC,"Yesterday at noon, the judge who addressed the witnesses noticed the defense attorneys.",rcv
24,13,1.68524746,9.288018227,ORC,"Yestreday, the manager who the boss visited remembered some inconvenient facts.",rcv
25,13,1.518764768,10.96508026,SRC,"Yesterday at noon, the manager who visited the boss  remembered some inconvenient facts.",rcv
26,14,1.711419129,14.15079308,ORC,"Yestreday, the mathematician who the chairman visited created a solution to the well-known problem.",rcv
27,14,1.522651495,12.97643471,SRC,"Yesterday at noon, the mathematician who visited the chairman created a solution to the well-known problem.",rcv
