sentence,id,type,level,subj1,verb1,subj2,verb2,subj3,verb3
The bees that the places that the farmer built housed attacked the children. ,1,CE,1,bees,attacked,places,housed,farmer,built
The bees that the places that the farmer built housed attacked the children. ,1,CE,2,bees,attacked,places,housed,farmer,built
The bees that the places that the farmer built housed attacked the children. ,1,CE,3,bees,attacked,places,housed,farmer,built
The farmer built the places that housed the bees that attacked the children.,1,RB,1,bees,attacked,places,housed,farmer,built
"Yesterday evening, the farmer built the places that housed the bees that attacked the children.",1,RB,2,bees,attacked,places,housed,farmer,built
"After the sun went down, the farmer built the places that housed the bees that attacked the children.",1,RB,3,bees,attacked,places,housed,farmer,built
The glass that the maid that the agency hired dropped broke on the floor. ,2,CE,1,glass,broke,maid,dropped,agency,hired
The glass that the maid that the agency hired dropped broke on the floor. ,2,CE,2,glass,broke,maid,dropped,agency,hired
The glass that the maid that the agency hired dropped broke on the floor. ,2,CE,3,glass,broke,maid,dropped,agency,hired
The agency hired the maid who dropped the glass that broke on the floor. ,2,RB,1,glass,broke,maid,dropped,agency,hired
"Yesterday evening, the agency hired the maid who dropped the glass that broke on the floor. ",2,RB,2,glass,broke,maid,dropped,agency,hired
"After the sun went down, the agency hired the maid who dropped the glass that broke on the floor. ",2,RB,3,glass,broke,maid,dropped,agency,hired
The reporters that the beer that the merchant sold delighted wrote a cookbook. ,3,CE,1,reporters,wrote,beer,delighted,merchant,sold
The reporters that the beer that the merchant sold delighted wrote a cookbook. ,3,CE,2,reporters,wrote,beer,delighted,merchant,sold
The reporters that the beer that the merchant sold delighted wrote a cookbook. ,3,CE,3,reporters,wrote,beer,delighted,merchant,sold
The merchant sold the beer that delighted the reporters who wrote a cookbook.,3,RB,1,reporters,wrote,beer,delighted,merchant,sold
"Yesterday evening, the merchant sold the beer that delighted the reporters who wrote a cookbook.",3,RB,2,reporters,wrote,beer,delighted,merchant,sold
"After the sun went down, the merchant sold the beer that delighted the reporters who wrote a cookbook.",3,RB,3,reporters,wrote,beer,delighted,merchant,sold
The game that the inmates that the judge sentenced played involved bats and balls. ,4,CE,1,game,involved,inmates,played,judge,sentenced
The game that the inmates that the judge sentenced played involved bats and balls. ,4,CE,2,game,involved,inmates,played,judge,sentenced
The game that the inmates that the judge sentenced played involved bats and balls. ,4,CE,3,game,involved,inmates,played,judge,sentenced
The judge sentenced the inmates who played the game that involved bats and balls.,4,RB,1,game,involved,inmates,played,judge,sentenced
"Yesterday evening, the judge sentenced the inmates who played the game that involved bats and balls.",4,RB,2,game,involved,inmates,played,judge,sentenced
"After the sun went down, the judge sentenced the inmates who played the game that involved bats and balls.",4,RB,3,game,involved,inmates,played,judge,sentenced
The stone that the boy that the club members initiated threw hit the window.,5,CE,1,stone,hit,boy,threw,members,initiated
The stone that the boy that the club members initiated threw hit the window.,5,CE,2,stone,hit,boy,threw,members,initiated
The stone that the boy that the club members initiated threw hit the window.,5,CE,3,stone,hit,boy,threw,members,initiated
The club members initiated the boy who threw the stone that hit the window.,5,RB,1,stone,hit,boy,threw,members,initiated
"Yesterday evening, the club members initiated the boy who threw the stone that hit the window.",5,RB,2,stone,hit,boy,threw,members,initiated
"After the sun went down, the club members initiated the boy who threw the stone that hit the window.",5,RB,3,stone,hit,boy,threw,members,initiated
The chef that the waiter that the visitor appreciated teased admired good musicians. ,6,CE,1,chef,admired,waiter,teased,visitor,appreciated
The chef that the waiter that the visitor appreciated teased admired good musicians. ,6,CE,2,chef,admired,waiter,teased,visitor,appreciated
