,id,sent_type,sentence,surprisal,entropy_all,type
0,1,SRC,"Yesterday at noon, the bus driver who followed the kids wondered about the location of a hotel.",9.578,1.7482,rcv
1,1,ORC,"Yesterday, the bus driver who the kids followed wondered about the location of a hotel.",11.277,2.0298,rcv
2,2,SRC,"Yesterday at noon, the chef who distracted the cameraman poured the flour onto the counter.",18.5266,1.7146,rcv
3,2,ORC,"Yesterday, the chef who the cameraman distracted poured the flour onto the counter.",17.1827,2.1321,rcv
4,3,SRC,"Yesterday at noon, the children who woke the father bothered him about the trip to the beach.",9.9398,1.6681,rcv
5,3,ORC,"Yesterday, the children who the father woke bothered him about the trip to the beach.",13.6961,1.8761,rcv
6,4,SRC,"Yesterday at noon, the class that disliked the teacher skimmed the reading for the week.",17.1271,1.677,rcv
7,4,ORC,"Yesterday, the class that the teacher disliked skimmed the reading for the week.",13.6533,1.9718,rcv
8,5,SRC,"Yesterday at noon, the dancer that loved the audience ignored some basic principles.",10.718,1.57,rcv
9,5,ORC,"Yesterday, the dancer that the audience loved ignored some basic principles.",4.765,1.8752,rcv
10,6,SRC,"Yesterday at noon, the employees that noticed the fireman hurried across the open field.",12.9089,1.6508,rcv
11,6,ORC,"Yesterday, the employees that the fireman noticed hurried across the open field.",10.4711,2.0948,rcv
12,7,SRC,"Yesterday at noon, the farmer that approached the customers lifted the chickens from their coop.",10.7187,1.7777,rcv
13,7,ORC,"Yesterday, the farmer that the customers approached lifted the chickens from their coop.",9.9477,1.948,rcv
14,8,SRC,"Yesterday at noon, the farmer who hired the rancher piled the seeds in long rows.",9.8707,1.6474,rcv
15,8,ORC,"Yesterday, the farmer who the rancher hired piled the seeds in long rows.",7.6361,2.0985,rcv
16,9,SRC,"Yesterday at noon, the firemen that called the residents attacked the house with high-powered hoses.",9.6818,1.7413,rcv
17,9,ORC,"Yesterday, the firemen that the residents called attacked the house with high-powered hoses.",6.2407,1.9037,rcv
18,10,SRC,"Yesterday at noon, the girl who watched the parents changed a critical part of the story.",10.1415,1.6644,rcv
19,10,ORC,"Yesterday, the girl who the parents watched changed a critical part of the story.",10.5759,1.874,rcv
20,11,SRC,"Yesterday at noon, the investigator who called the agency considered Ms. Reynolds from accounting.",8.1623,1.6774,rcv
21,11,ORC,"Yesterday, the investigator who the agency called considered Ms. Reynolds from accounting.",6.1298,1.9007,rcv
22,12,SRC,"Yesterday at noon, the judge who addressed the witnesses noticed the defense attorneys.",10.4911,1.6052,rcv
23,12,ORC,"Yesterday, the judge who the witnesses addressed noticed the defense attorneys.",13.5141,1.8988,rcv
24,13,SRC,"Yesterday at noon, the manager who visited the boss  remembered some inconvenient facts.",10.9653,1.7063,rcv
25,13,ORC,"Yesterday, the manager who the boss visited remembered some inconvenient facts.",9.8242,1.8477,rcv
26,14,SRC,"Yesterday at noon, the mathematician who visited the chairman created a solution to the well-known problem.",12.9764,1.7862,rcv
27,14,ORC,"Yesterday, the mathematician who the chairman visited created a solution to the well-known problem.",15.605,1.9276,rcv
28,15,SRC,"Yesterday at noon, the monkeys that watched the zookeepers charged the bars of their cage.",8.366,1.6915,rcv
29,15,ORC,"Yesterday, the monkeys that the zookeepers watched charged the bars of their cage.",7.1998,2.3864,rcv
30,16,SRC,"Yesterday at noon, the movie star who visited the organizers proposed an annual prize.",11.5742,1.7944,rcv
31,16,ORC,"Yesterday, the movie star who the organizers visited proposed an annual prize.",13.5653,2.0115,rcv
32,17,SRC,"Yesterday at noon, the neighbor who observed the couple purchased the old Victorian house.",9.1516,1.6589,rcv
33,17,ORC,"Yesterday, the neighbor who the couple observed purchased the old Victorian house.",12.3617,1.819,rcv
34,18,SRC,"Yesterday at noon, the pilot who delayed the ground crew remained on the runway for a long time.",13.6565,1.6985,rcv
35,18,ORC,"Yesterday, the pilot who the ground crew delayed remained on the runway for a long time.",14.6466,2.098,rcv
36,19,SRC,"Yesterday at noon, the soldiers that helped the natives climbed the big rock that blocked the path.",8.4728,1.5983,rcv
37,19,ORC,"Yesterday, the soldiers that the natives helped climbed the big rock that blocked the path.",10.5729,1.9295,rcv
38,20,SRC,"Yesterday at noon, the speaker who entertained the economists predicted a good year for the industry.",14.3581,1.731,rcv
39,20,ORC,"Yesterday, the speaker who the economists entertained predicted a good year for the industry.",17.4882,1.9983,rcv
40,21,SRC,"Yesterday at noon, the table top that rested on the box screwed directly to the legs.",11.5468,1.8006,rcv
41,21,ORC,"Yesterday, the table top that the box rested on screwed directly to the legs.",11.2003,2.1456,rcv
42,22,SRC,"Yesterday at noon, the trainer who called the jockey rubbed the horse’s skin.",7.6916,1.6714,rcv
43,22,ORC,"Yesterday, the trainer who the jockey called rubbed the horse’s skin.",4.9941,2.0766,rcv
44,23,SRC,"Yesterday at noon, the veteran who admired the coach defeated his greatest rival.",16.1398,1.6728,rcv
45,23,ORC,"Yesterday, the veteran who the coach admired defeated his greatest rival.",11.8618,1.9107,rcv
46,24,SRC,"Yesterday at noon, the visitor who introduced the student walked across the quad.",10.3067,1.6479,rcv
47,24,ORC,"Yesterday, the visitor who the student introduced walked across the quad.",10.9674,1.9387,rcv
48,1,ORC,"Yesterday afternoon,the bus driver who the kids followed wondered about the location of a hotel.",10.366,1.5678,rcn
49,1,SRC,"Yesterday, the bus driver who followed the kids wondered about the location of a hotel.",1.2198,1.572,rcn
50,2,ORC,"Yesterday afternoon,the chef who the cameraman distracted poured the flour onto the counter.",11.0279,1.4567,rcn
51,2,SRC,"Yesterday, the chef who distracted the cameraman poured the flour onto the counter.",2.2911,1.4001,rcn
52,3,ORC,"Yesterday afternoon,the children who the father woke bothered him about the trip to the beach.",9.9298,1.426,rcn
53,3,SRC,"Yesterday, the children who woke the father bothered him about the trip to the beach.",6.6212,1.4333,rcn
54,4,ORC,"Yesterday afternoon,the class that the teacher disliked skimmed the reading for the week.",6.3722,1.551,rcn
55,4,SRC,"Yesterday, the class that disliked the teacher skimmed the reading for the week.",2.9812,1.4127,rcn
56,5,ORC,"Yesterday afternoon,the dancer that the audience loved ignored some basic principles.",7.278,1.5326,rcn
57,5,SRC,"Yesterday, the dancer that loved the audience ignored some basic principles.",3.9094,1.4096,rcn
