,item,sentence,zone,RT,word,nItem,meanItemRT,sdItemRT,gmeanItemRT,gsdItemRT,surprisal,all_entropy,prev_surprisal,prev_all_entropy,w_len,prev_w_len,log_freq,prev_log_freq,loc
0,1,1,1,360,If,84,369.0119048,160.579935,340.5660232,1.490512866,,,,,,,,,
1,1,1,2,304,you,87,368.183908,168.0271662,339.7461884,1.475379272,,,,,,,,,
2,1,1,3,270,were,88,344.3181818,224.9166663,310.3379603,1.50561301,5.99516487121582,0.6565478203780075,4.683666229248047,0.24356862905321164,4,3,20.85011104238098,20.879301241848736,2
3,1,1,4,292,to,86,354.6395349,310.0656444,305.6867008,1.603190458,2.357766628265381,0.8926124447552475,5.99516487121582,0.6565478203780075,2,4,22.992670780646666,20.85011104238098,3
4,1,1,5,304,journey,89,349.6741573,198.2128548,315.9860658,1.530089744,14.247678756713867,1.0023100381999401,2.357766628265381,0.8926124447552475,7,2,16.72441507403318,22.992670780646666,4
5,1,1,6,315,to,89,376.3707865,334.0789367,320.0053022,1.625688944,2.4030659198760986,1.2594153251785818,14.247678756713867,1.0023100381999401,2,7,22.992670780646666,16.72441507403318,5
6,1,1,7,248,the,87,327.3103448,181.5808687,297.4785566,1.497134657,2.4336633682250977,1.3573286051360245,2.4030659198760986,1.2594153251785818,3,2,24.00224221782431,22.992670780646666,6
7,1,1,8,292,North,89,365.494382,336.9052714,308.4432621,1.651081766,6.557888031005859,1.327463571642003,2.4336633682250977,1.3573286051360245,5,3,18.30779688769425,24.00224221782431,7
8,1,1,9,225,of,87,344.9310345,207.073001,307.086356,1.564522403,6.547536373138428,1.3829076527861115,6.557888031005859,1.327463571642003,2,5,23.463006516878895,18.30779688769425,8
9,1,1,10,304,"England,",89,400.2696629,295.9720796,347.105172,1.623800147,,,,,,,,,
10,1,1,11,225,you,88,372.5909091,212.7048377,336.724795,1.519541742,1.8241469860076904,1.7434160124129816,,,3,,20.879301241848736,,10
11,1,1,12,270,would,87,350.3793103,159.260737,324.5634471,1.457494818,1.038832426071167,1.8424369959187612,1.8241469860076904,1.7434160124129816,5,3,20.417290085523085,20.879301241848736,11
12,1,1,13,247,come,87,319.0804598,117.2759832,299.1166274,1.434729657,5.703734874725342,1.8732803391109683,1.038832426071167,1.8424369959187612,4,5,18.944421868404184,20.417290085523085,12
13,1,1,14,248,to,87,355.9310345,318.7562965,306.5050642,1.600430331,2.2095305919647217,2.058515490537304,5.703734874725342,1.8732803391109683,2,4,22.992670780646666,18.944421868404184,13
14,1,1,15,180,a,85,343.8588235,213.1220952,306.6411784,1.552064915,3.1120595932006836,2.0576695679549633,2.2095305919647217,2.058515490537304,1,2,22.758617496466524,22.992670780646666,14
15,1,1,16,191,valley,86,330.7325581,180.9776993,300.5045357,1.508227763,9.563833236694336,1.9927674847114116,3.1120595932006836,2.0576695679549633,6,1,17.033664162093853,22.758617496466524,15
16,1,1,17,191,that,86,346.7790698,367.91586,291.0120066,1.611670485,4.694526672363281,2.122739953970717,9.563833236694336,1.9927674847114116,4,6,22.109653507462845,17.033664162093853,16
17,1,1,18,192,is,87,360.2873563,326.4420924,305.778946,1.63448427,2.587935447692871,2.0914818961201465,4.694526672363281,2.122739953970717,2,4,22.156463274948866,22.109653507462845,17
18,1,1,19,180,surrounded,86,337.0465116,151.9499846,309.7352408,1.494437055,7.600184440612793,1.9094617251565573,2.587935447692871,2.0914818961201465,10,2,16.30561102981023,22.156463274948866,18
19,1,1,20,202,by,85,359.3647059,222.9714293,313.7599155,1.633628508,0.19558416306972504,2.1534221724620854,7.600184440612793,1.9094617251565573,2,10,21.578331836348745,16.30561102981023,19
20,1,1,21,214,moors,86,395.4302326,236.7473978,348.5851405,1.612896462,,,,,,,,,
21,1,1,22,203,as,87,414.5977011,280.1257384,361.425474,1.62390294,8.798619270324707,2.39068599343477,,,2,,21.770690998924316,,21
22,1,1,23,202,high,86,390.9534884,249.3493607,350.6834612,1.517659413,6.254427433013916,2.097524522865759,8.798619270324707,2.39068599343477,4,2,19.07325803883495,21.770690998924316,22
23,1,1,24,203,as,83,434.0361446,329.5721338,364.7294982,1.710914647,0.05213899537920952,2.291078941518501,6.254427433013916,2.097524522865759,2,4,21.770690998924316,19.07325803883495,23
24,1,1,25,202,mountains.,84,457.3452381,338.4947009,389.431724,1.690774761,,,,,,,,,
25,1,2,26,203,It,84,399.9285714,274.3783241,354.4577316,1.549721709,,,,,,,,,
26,1,2,27,180,is,85,325.2470588,161.3557078,299.9090155,1.457613609,,,,,,,,,
27,1,2,28,191,in,86,318.2674419,134.3495375,296.2738269,1.444422897,7.023422718048096,0.6291192570204456,4.1837158203125,0.2712966955441098,2,2,22.856896773775095,22.156463274948866,2
28,1,2,29,180,this,85,341.2235294,263.1177709,300.5770036,1.552334679,4.332043170928955,0.8999379828569389,7.023422718048096,0.6291192570204456,4,2,21.371951095543007,22.856896773775095,3
29,1,2,30,169,valley,85,375.8,269.7199959,325.6287671,1.623089536,12.974371910095215,1.1542688908974457,4.332043170928955,0.8999379828569389,6,4,17.033664162093853,21.371951095543007,4
30,1,2,31,202,where,85,363.1294118,322.1565276,312.7875025,1.595012112,3.6263163089752197,1.3321514971488482,12.974371910095215,1.1542688908974457,5,6,19.63209090147411,17.033664162093853,5
31,1,2,32,168,you,87,365.4367816,269.7873711,316.6011723,1.61484914,5.224332809448242,1.4017642493089877,3.6263163089752197,1.3321514971488482,3,5,20.879301241848736,19.63209090147411,6
32,1,2,33,192,would,86,323.5581395,148.0683153,298.8392863,1.468723551,7.032044410705566,1.4627792354315556,5.224332809448242,1.4017642493089877,5,3,20.417290085523085,20.879301241848736,7
33,1,2,34,180,find,85,305.3294118,124.5744555,285.4261258,1.430246107,2.292127847671509,1.6481116447136681,7.032044410705566,1.4627792354315556,4,5,18.736540313140598,20.417290085523085,8
34,1,2,35,180,the,84,355.8571429,310.3554566,308.4386189,1.57634747,2.1130330562591553,1.7651809290467118,2.292127847671509,1.6481116447136681,3,4,24.00224221782431,18.736540313140598,9
35,1,2,36,180,city,87,320.2988506,155.7220328,294.7365461,1.472561555,8.637372016906738,1.687858686814004,2.1130330562591553,1.7651809290467118,4,3,18.626738928073074,24.00224221782431,10
36,1,2,37,180,of,87,418.4367816,401.8341872,325.2726372,1.86914922,0.7316760420799255,1.7049424090707488,8.637372016906738,1.687858686814004,2,4,23.463006516878895,18.626738928073074,11
37,1,2,38,180,"Bradford,",85,440.5764706,284.2584495,373.7698462,1.743337887,,,,,,,,,
38,1,2,39,180,where,84,377.3095238,159.5945145,349.641348,1.469528899,3.1319427490234375,2.323262393412361,,,5,,19.63209090147411,,13
39,1,2,40,214,once,87,353.954023,158.9762969,326.3822984,1.482605026,9.128381729125977,1.932929341551587,3.1319427490234375,2.323262393412361,4,5,18.7108640157954,19.63209090147411,14
40,1,2,41,292,a,87,397.4137931,260.3918582,350.7366075,1.588809231,3.3484320640563965,1.9562008726442697,9.128381729125977,1.932929341551587,1,4,22.758617496466524,18.7108640157954,15
41,1,2,42,372,thousand,86,455.1395349,270.3007111,399.0093973,1.636803646,6.4091949462890625,2.0661015038590933,3.3484320640563965,1.9562008726442697,8,1,17.51905108637184,22.758617496466524,16
42,1,2,43,360,spinning,84,459.0238095,324.2799243,390.2498201,1.698442952,17.926738739013672,1.916654391391633,6.4091949462890625,2.0661015038590933,8,8,15.065235774301899,17.51905108637184,17
43,1,2,44,292,jennies,85,539.3176471,288.1306835,468.8807282,1.716289357,,,,,,,,,
44,1,2,45,360,that,86,538.5348837,318.1455345,467.1619025,1.689868845,8.708549499511719,2.426710617807513,,,4,,22.109653507462845,,19
45,1,2,46,214,hummed,86,432.3139535,216.913822,392.2180213,1.529126753,,,,,,,,,
46,1,2,47,293,and,86,407.4069767,191.7663025,371.4802759,1.520888571,3.3831541538238525,2.2354594040007676,,,3,,23.14948082663174,,21
47,1,2,48,247,clattered,85,414.8117647,212.1835736,375.5889945,1.537150941,,,,,,,,,
48,1,2,49,259,spun,85,453.9647059,319.8948282,398.7468503,1.587882639,14.801637649536133,2.5123393705073074,,,4,,14.537834428935385,,23
49,1,2,50,281,wool,86,426.872093,201.7930096,388.0924761,1.5378567,14.316165924072266,2.2644396255689534,,,4,,15.69165559865897,,24
50,1,2,51,293,into,84,392.5595238,191.7240959,360.2517925,1.48123404,5.605144023895264,2.491777983704297,,,4,,20.164845341364373,,25
51,1,2,52,281,money,87,384.2068966,165.9092732,354.0390696,1.494122307,13.147954940795898,2.314445852512251,,,5,,18.330368247896203,,26
52,1,2,53,304,for,87,385.4712644,161.8751916,358.2203325,1.455729832,7.078540325164795,2.546277214824386,,,3,,21.908859243368568,,27
53,1,2,54,360,the,85,462.6470588,324.710703,396.5668594,1.678593893,1.4218051433563232,2.535927968423231,,,3,,24.00224221782431,,28
54,1,2,55,292,long-bearded,86,441.1976744,226.7193559,394.6299717,1.595457957,,,,,,,,,
55,1,2,56,281,mill,84,476.8690476,361.3582736,411.5110371,1.640574315,,,,,,,,,
56,1,2,57,293,owners.,87,480.5862069,304.5947575,424.758525,1.585848076,,,,,,,,,
57,1,3,58,236,That,87,415.6896552,184.6245915,381.8362692,1.501565185,,,,,,,,,
58,1,3,59,270,all,87,439.0114943,246.7346043,387.3180338,1.62480591,,,,,,,,,
59,1,3,60,259,mill,87,429.5287356,269.6909876,376.1758577,1.637269711,21.339548110961914,0.4886176386453054,8.303458213806152,0.21773990663069143,4,3,16.35165904664935,20.754163499795517,2
60,1,3,61,270,owners,87,381.5287356,167.8932966,351.3361256,1.491603639,8.52280044555664,0.865051279106167,21.339548110961914,0.4886176386453054,6,4,16.380170181149197,16.35165904664935,3
61,1,3,62,236,were,86,387.1976744,148.1647588,360.4703997,1.468613481,5.294679164886475,1.1336056869516253,8.52280044555664,0.865051279106167,4,6,20.85011104238098,16.380170181149197,4
62,1,3,63,259,generally,87,378.5402299,141.4367148,356.2306811,1.410265089,11.788555145263672,1.3388398109345994,5.294679164886475,1.1336056869516253,9,4,18.062873544969033,20.85011104238098,5
63,1,3,64,214,busy,84,369.5119048,144.9279417,345.042755,1.446075027,10.728327751159668,1.4176027465907686,11.788555145263672,1.3388398109345994,4,9,16.283120223708554,18.062873544969033,6
64,1,3,65,214,as,86,388.7209302,244.3420289,342.9849181,1.59812861,7.614891052246094,1.5082206957194981,10.728327751159668,1.4176027465907686,2,4,21.770690998924316,16.283120223708554,7
65,1,3,66,191,beavers,86,359.7906977,151.967343,333.9728905,1.459083249,,,,,,,,,
66,1,3,67,202,and,87,362.5057471,175.9587606,334.8187095,1.456078422,2.636305809020996,1.8599822669540629,,,3,,23.14948082663174,,9
67,1,3,68,192,quite,87,385.7356322,182.0363789,353.4277477,1.498035596,12.579164505004883,1.8477999304085069,2.636305809020996,1.8599822669540629,5,3,18.278289602259832,23.14948082663174,10
68,1,3,69,202,pleased,86,343.9302326,125.6676093,324.1356561,1.408232568,6.4978203773498535,1.8882642621561037,12.579164505004883,1.8477999304085069,7,5,16.407011511979867,18.278289602259832,11
69,1,3,70,214,with,87,370.3793103,168.4964454,338.7067791,1.513994896,1.026961326599121,1.953481621871829,6.4978203773498535,1.8882642621561037,4,7,21.675460481313095,16.407011511979867,12
70,1,3,71,180,themselves,85,371.4705882,159.523889,342.9103759,1.487955802,6.567519187927246,1.9962269002310755,1.026961326599121,1.953481621871829,10,4,18.502147554033613,21.675460481313095,13
71,1,3,72,191,for,86,349.0581395,134.7985298,327.2709762,1.42529896,4.163354396820068,2.077903253759785,6.567519187927246,1.9962269002310755,3,10,21.908859243368568,18.502147554033613,14
72,1,3,73,191,being,86,339.4651163,124.7920338,319.4971027,1.413057218,4.467737197875977,2.0909161619690395,4.163354396820068,2.077903253759785,5,3,19.54592435981058,21.908859243368568,15
73,1,3,74,214,so,85,345.9647059,147.1823009,321.2239899,1.455428731,3.863327980041504,2.118685176199724,4.467737197875977,2.0909161619690395,2,5,20.401090513661593,19.54592435981058,16
74,1,3,75,191,successful,86,380.4767442,271.579724,339.1481347,1.532461416,5.323271751403809,2.187492020344183,3.863327980041504,2.118685176199724,10,2,17.36605498617335,20.401090513661593,17
75,1,3,76,192,and,85,362.9529412,167.0089038,336.0570332,1.455456881,5.172346591949463,2.3969568157319614,5.323271751403809,2.187492020344183,3,10,23.14948082663174,17.36605498617335,18
76,1,3,77,191,well,84,361.2738095,193.6320166,328.2875394,1.518500384,5.97402811050415,2.1804285160479484,5.172346591949463,2.3969568157319614,4,3,19.637689788060488,23.14948082663174,19
77,1,3,78,191,off,87,357.091954,186.1993575,327.4456154,1.480740464,5.873939514160156,2.188763146352643,5.97402811050415,2.1804285160479484,3,4,18.8345588037319,19.637689788060488,20
78,1,3,79,192,was,87,353.4137931,143.7021752,328.8419583,1.457464373,11.541189193725586,2.3719570332328264,5.873939514160156,2.188763146352643,3,3,21.7353565937221,18.8345588037319,21
79,1,3,80,202,known,86,357.0232558,147.029567,334.4184857,1.424056403,9.211259841918945,2.2042465374885887,11.541189193725586,2.3719570332328264,5,3,18.614368773611407,21.7353565937221,22
80,1,3,81,191,to,86,344.4534884,148.2869759,321.3901699,1.434907595,2.520273447036743,2.4116116085662913,9.211259841918945,2.2042465374885887,2,5,22.992670780646666,18.614368773611407,23
81,1,3,82,214,the,86,381.8023256,246.9936327,339.6763824,1.560370307,3.173274278640747,2.390968738879004,2.520273447036743,2.4116116085662913,3,2,24.00224221782431,22.992670780646666,24
82,1,3,83,191,residents,86,365.5,190.6937027,336.9076373,1.461231162,8.366479873657227,2.382792825163833,3.173274278640747,2.390968738879004,9,3,16.10428005357789,24.00224221782431,25
83,1,3,84,225,of,86,388.9651163,289.2548011,340.6820973,1.574811135,1.1046236753463745,2.2335606402936907,8.366479873657227,2.382792825163833,2,9,23.463006516878895,16.10428005357789,26
84,1,3,85,225,"Bradford,",85,399.6117647,180.9317876,366.1820486,1.516160479,,,,,,,,,
85,1,3,86,214,and,84,367.6309524,143.6490687,345.1483728,1.41672793,3.7923502922058105,2.910740828369481,,,3,,23.14948082663174,,28
86,1,3,87,191,if,86,328.6860465,121.2337811,311.1957016,1.378788857,7.6850409507751465,2.7074450516978437,3.7923502922058105,2.910740828369481,2,3,20.477989813178368,23.14948082663174,29
87,1,3,88,203,you,87,329.862069,133.0653077,307.123177,1.451595389,3.570246934890747,2.2722825529457715,7.6850409507751465,2.7074450516978437,3,2,20.879301241848736,20.477989813178368,30
88,1,3,89,191,were,86,331.6046512,161.7787363,305.0303873,1.475496155,3.1269657611846924,2.674957303427879,3.570246934890747,2.2722825529457715,4,3,20.85011104238098,20.879301241848736,31
89,1,3,90,203,to,86,315.4186047,118.6732999,297.2475641,1.401747638,2.7000162601470947,2.3657741588185663,3.1269657611846924,2.674957303427879,2,4,22.992670780646666,20.85011104238098,32
90,1,3,91,191,go,87,344.7931034,178.9953318,316.447536,1.471545262,4.374117851257324,2.437423753572291,2.7000162601470947,2.3657741588185663,2,2,18.90309083751221,22.992670780646666,33
91,1,3,92,225,into,85,332.2823529,131.5224598,310.5252321,1.43647917,4.192395210266113,2.5517381742436163,4.374117851257324,2.437423753572291,4,2,20.164845341364373,18.90309083751221,34
92,1,3,93,202,the,85,326.1294118,121.6193112,306.2717931,1.423193205,2.0165576934814453,2.599859480940738,4.192395210266113,2.5517381742436163,3,4,24.00224221782431,20.164845341364373,35
93,1,3,94,180,city,84,319.5833333,108.0141901,302.8021513,1.392183307,4.288656711578369,2.6148776060732435,2.0165576934814453,2.599859480940738,4,3,18.626738928073074,24.00224221782431,36
94,1,3,95,181,to,86,319.0813953,124.5448386,298.3363766,1.439451759,4.438673496246338,2.6718716277444092,4.288656711578369,2.6148776060732435,2,4,22.992670780646666,18.626738928073074,37
95,1,3,96,213,visit,86,330.9186047,131.823609,310.1674492,1.420771383,3.9650216102600098,2.800531068998882,4.438673496246338,2.6718716277444092,5,2,17.261117794072753,22.992670780646666,38
96,1,3,97,180,the,86,370.7325581,208.2959673,331.2701958,1.571178068,2.1993768215179443,2.6883963129652715,3.9650216102600098,2.800531068998882,3,5,24.00224221782431,17.261117794072753,39
