,id,sent_type,sentence,surprisal,entropy_all,type
0,1,ORC,"Yestreday, the bus driver who the kids followed wondered about the location of a hotel.",10.9725,1.7837,rcv
1,1,SRC,"Yesterday at noon, the bus driver who followed the kids wondered about the location of a hotel.",9.578,1.5796,rcv
2,2,ORC,"Yestreday, the chef who the cameraman distracted poured the flour onto the counter.",17.2238,1.7535,rcv
3,2,SRC,"Yesterday at noon, the chef who distracted the cameraman poured the flour onto the counter.",18.5266,1.4309,rcv
4,3,ORC,"Yestreday, the children who the father woke bothered him about the trip to the beach.",13.6998,1.6219,rcv
5,3,SRC,"Yesterday at noon, the children who woke the father bothered him about the trip to the beach.",9.9398,1.4087,rcv
6,4,ORC,"Yestreday, the class that the teacher disliked skimmed the reading for the week.",12.7106,1.7277,rcv
7,4,SRC,"Yesterday at noon, the class that disliked the teacher skimmed the reading for the week.",17.1271,1.3902,rcv
8,5,ORC,"Yestreday, the dancer that the audience loved ignored some basic principles.",4.9302,1.7174,rcv
9,5,SRC,"Yesterday at noon, the dancer that loved the audience ignored some basic principles.",10.718,1.3725,rcv
10,6,ORC,"Yestreday, the employees that the fireman noticed hurried across the open field.",10.3988,1.8167,rcv
11,6,SRC,"Yesterday at noon, the employees that noticed the fireman hurried across the open field.",12.909,1.4564,rcv
12,7,ORC,"Yestreday, the farmer that the customers approached lifted the chickens from their coop.",9.9405,1.7123,rcv
13,7,SRC,"Yesterday at noon, the farmer that approached the customers lifted the chickens from their coop.",10.7187,1.5305,rcv
14,8,ORC,"Yestreday, the farmer who the rancher hired piled the seeds in long rows.",7.047,1.7877,rcv
15,8,SRC,"Yesterday at noon, the farmer who hired the rancher piled the seeds in long rows.",9.8708,1.4249,rcv
16,9,ORC,"Yestreday, the firemen that the residents called attacked the house with high-powered hoses.",6.6851,1.7878,rcv
17,9,SRC,"Yesterday at noon, the firemen that called the residents attacked the house with high-powered hoses.",9.6818,1.5043,rcv
18,10,ORC,"Yestreday, the girl who the parents watched changed a critical part of the story.",9.4276,1.6825,rcv
19,10,SRC,"Yesterday at noon, the girl who watched the parents changed a critical part of the story.",10.1415,1.4894,rcv
20,11,ORC,"Yestreday, the investigator who the agency called considered Ms. Reynolds from accounting.",6.7003,1.6726,rcv
21,11,SRC,"Yesterday at noon, the investigator who called the agency considered Ms. Reynolds from accounting.",8.1623,1.4385,rcv
22,12,ORC,"Yestreday, the judge who the witnesses addressed noticed the defense attorneys.",13.7278,1.6803,rcv
23,12,SRC,"Yesterday at noon, the judge who addressed the witnesses noticed the defense attorneys.",10.491,1.4639,rcv
24,13,ORC,"Yestreday, the manager who the boss visited remembered some inconvenient facts.",9.288,1.6852,rcv
25,13,SRC,"Yesterday at noon, the manager who visited the boss  remembered some inconvenient facts.",10.9652,1.5188,rcv
26,14,ORC,"Yestreday, the mathematician who the chairman visited created a solution to the well-known problem.",14.1509,1.7114,rcv
27,14,SRC,"Yesterday at noon, the mathematician who visited the chairman created a solution to the well-known problem.",12.9764,1.5227,rcv
28,15,ORC,"Yestreday, the monkeys that the zookeepers watched charged the bars of their cage.",7.1776,1.9204,rcv
29,15,SRC,"Yesterday at noon, the monkeys that watched the zookeepers charged the bars of their cage.",8.366,1.5707,rcv
30,16,ORC,"Yestreday, the movie star who the organizers visited proposed an annual prize.",13.0329,1.7326,rcv
31,16,SRC,"Yesterday at noon, the movie star who visited the organizers proposed an annual prize.",11.5742,1.5505,rcv
32,17,ORC,"Yestreday, the neighbor who the couple observed purchased the old Victorian house.",12.8366,1.6876,rcv
33,17,SRC,"Yesterday at noon, the neighbor who observed the couple purchased the old Victorian house.",9.1516,1.4675,rcv
34,18,ORC,"Yestreday, the pilot who the ground crew delayed remained on the runway for a long time.",14.6264,1.8038,rcv
35,18,SRC,"Yesterday at noon, the pilot who delayed the ground crew remained on the runway for a long time.",13.6566,1.4808,rcv
36,19,ORC,"Yestreday, the soldiers that the natives helped climbed the big rock that blocked the path.",11.1128,1.7457,rcv
